Length  ,Weight 
22.6,59
17.5,32
17.1,24
16.3,20
14.1,14
23.8,62
21.1,44
20.4,47
15,15
20.9,42
18.8,31
14,13
16.7,23
13,10
15.4,12
10.2,6
13.5,11
18.7,30
10.9,6
11.7,7
14.5,15
11.6,9
12.9,11
14.5,9
17.3,27
16.6,20
21.4,46
18,26
17.5,26
17.6,26
18.5,31
17.1,26
16.4,22
19.3,27
16.9,24
18.2,29
18.7,34
22.3,53
13.8,14
18.5,26
19.9,33
19,31
18.7,33
18.7,32
16.5,22
21.3,46
18.3,32
15.8,16
16.5,21
23.4,61
17.4,26
20,38
19.2,29
18.9,31
17.1,25
15.9,19
17.3,22
16.6,21
18.1,27
20.6,37
22.4,64
18,31
17.1,22
18.4,26
21,45
17.6,28
17.4,25
18.1,29
19.2,33
14.6,10
18.3,29
18.2,28
17.5,22
18.2,25
16.6,23
21.7,48
15.01,17
18.5,26
12.6,14
26,103
26,108
24,93
23,64
28,135
24,93
27,107
25.5,90
25,81
24.5,76
18.2,45
24.4,70
23.1,53
23.2,54
22.6,60
23,83
22,60
21.4,56
25.5,105
25.3,100
28,122
26.5,124
27.5,131
26,97
26.5,103
24.1,91
26,102
26.5,86
25.5,113
26.4,102
25.5,101
26.6,113
22.2,94
22,80
19,36
21.5,64
14,15
22,69
25.3,97
13.6,13
23.9,67
22,47
22.2,54
22.3,68
19.9,47
18.9,41
30,171
23.9,68
22,64
22,62
21.5,57
30,171
23.6,55
26.9,87
27,132
23.5,54
22,47
20.9,39
22,48
25,75
22.5,67
22,45
22.7,57
25,69
24,77
22,48
21,38
25,67
23.3,56
22,54
23,56
28.4,123
23.4,62
20,35
18.5,30
20,34
22.4,50
25.5,34
21,52
22,64
18.5,28
17.4,24
18.7,34
18.4,34
20.4,43
22.2,56
21.8,51
20.3,37
21.6,47
13.5,12
20.6,43
12.7,10
20.4,44
19.1,34
12.7,7
17.6,29
20.9,39
21.6,43
22.6,45
20.7,37
14.6,15
16.6,21
11.2,6
18.7,30
12.9,10
21.4,42
17,26
23,57
21,51
20.5,43
17.9,24
17.5,28
14.2,14
15.8,20
16.9,21
17.8,25
17.4,26
21.7,48
23.7,61
13.1,10
20.7,41
13.7,12
19.6,41
17,23
18.8,32
19,29
17.7,29
17.6,25
15.7,19
13.6,12
18.2,27
18.5,34
16.5,22
15.5,16
11,8
13,12
14.9,16
18,30
16.5,21
19.3,29
20.2,37
19,35
17.8,25
16.1,21
19.5,36
18.6,31
18.5,34
17.6,21
16.5,20
12.4,8
18.5,29
19.7,35
19.4,37
18.4,27
16.1,20
16.4,22
21.6,43
17.7,27
18.5,32
15.8,20
16.5,22
18.8,34
19.6,34
18.2,31
17.3,24
19.6,39
15.4,21
16.9,23
16.1,18
18,28
21.4,52
20.4,37
15.8,22
15.9,19
13.3,10
18,29
18.1,29
19,35
20.4,39
21.7,45
20.5,48
19.4,29
22.8,52
18.9,34
19.1,39
19.3,40
17.5,23
18.8,30
18.4,28
19.5,31
19.9,45
19.8,42
24.1,57
19.4,39
19.3,39
21,40
23.8,71
16.3,21
16.2,22
17.5,26
18.5,31
19.4,32
15,15
19,34
19.4,32
16.7,19
19.2,30
18.7,29
20.8,46
23.8,56
19.3,38
19.6,40
21.4,44
19.4,40
21.2,44
19.2,35
17.6,29
21.9,50
20,38
24.2,73
18.9,34
21.3,47
19.3,35
18.2,29
19.1,39
17.6,27
21.5,51
16.9,28
18.1,28
18.2,29
24,63
24.1,65
17.4,24
17.2,23
23.6,57
26.8,85
27.2,137
20.8,40
25.1,74
25,72
23.4,59
28.4,123
23.2,65
20.3,36
18.5,29
17.6,25
18.8,35
19,37
21.6,63
14.1,16
22.3,71
25.4,98
13.4,13
24,69
18.9,40
30.2,172
29.9,170
26,104
26.5,111
28.2,136
27.2,104
28.1,126
26.6,124
21.5,58
22.2,61
27.4,132
26.3,98
24.2,92
25.7,111
26.1,105
26.7,114
23,88
22.5,92
